Minute,Timestamp,Best_Objective,Best_Run,Run1_Steps,Run1_Objective,Run1_Status,Run2_Steps,Run2_Objective,Run2_Status,Run3_Steps,Run3_Objective,Run3_Status,Run4_Steps,Run4_Objective,Run4_Status,Run5_Steps,Run5_Objective,Run5_Status,Run6_Steps,Run6_Objective,Run6_Status,Run7_Steps,Run7_Objective,Run7_Status
0,2025-10-03 14:28:42,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
0,2025-10-03 14:28:53,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
0,2025-10-03 14:29:05,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
0,2025-10-03 14:29:17,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
0,2025-10-03 14:29:28,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
1,2025-10-03 14:29:40,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
1,2025-10-03 14:29:52,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
1,2025-10-03 14:30:04,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
1,2025-10-03 14:30:17,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
1,2025-10-03 14:30:28,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
2,2025-10-03 14:30:40,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
2,2025-10-03 14:30:51,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
2,2025-10-03 14:31:03,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
2,2025-10-03 14:31:15,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
2,2025-10-03 14:31:27,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
3,2025-10-03 14:31:39,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
3,2025-10-03 14:31:50,-2.974320,1,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING,1,-2.974320,RUNNING
