Minute,Timestamp,Best_Objective,Best_Run,Run1_Steps,Run1_Objective,Run1_Status,Run2_Steps,Run2_Objective,Run2_Status,Run3_Steps,Run3_Objective,Run3_Status,Run4_Steps,Run4_Objective,Run4_Status,Run5_Steps,Run5_Objective,Run5_Status
0,2025-10-02 02:21:43,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,6,-3.533090,RUNNING,7,-3.524410,RUNNING
0,2025-10-02 02:21:54,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,6,-3.533090,RUNNING,7,-3.524410,RUNNING
0,2025-10-02 02:22:05,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,6,-3.533090,RUNNING,7,-3.524410,RUNNING
0,2025-10-02 02:22:14,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
0,2025-10-02 02:22:25,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
1,2025-10-02 02:22:36,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
1,2025-10-02 02:22:46,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
1,2025-10-02 02:22:57,-5.129639,2,9,-3.926335,RUNNING,12,-5.129639,RUNNING,9,-3.915050,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
1,2025-10-02 02:23:08,-5.130941,2,10,-4.135716,RUNNING,13,-5.130941,RUNNING,10,-4.129205,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
1,2025-10-02 02:23:17,-5.130941,2,10,-4.135716,RUNNING,13,-5.130941,RUNNING,10,-4.129205,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
1,2025-10-02 02:23:28,-5.130941,2,10,-4.135716,RUNNING,13,-5.130941,RUNNING,10,-4.129205,RUNNING,7,-4.141358,RUNNING,10,-4.135716,RUNNING
