1.375000 1.125000 1.875000 Fe
0.125000 0.125000 0.625000 Fe
1.125000 0.125000 0.625000 Fe
0.125000 1.125000 0.625000 Fe
1.125000 1.125000 0.625000 Fe
0.125000 0.125000 1.625000 Fe
1.125000 0.125000 1.625000 Fe
0.125000 1.125000 1.625000 Fe
1.125000 1.125000 1.625000 Fe
0.875000 0.375000 0.125000 Fe
1.875000 0.375000 0.125000 Fe
0.875000 1.375000 0.125000 Fe
1.875000 1.375000 0.125000 Fe
0.875000 0.375000 1.125000 Fe
1.875000 0.375000 1.125000 Fe
0.875000 1.375000 1.125000 Fe
1.875000 1.375000 1.125000 Fe
1.625000 0.375000 1.375000 Fe
0.625000 0.375000 1.375000 Fe
1.625000 1.375000 1.375000 Fe
0.625000 1.375000 1.375000 Fe
1.625000 0.375000 0.375000 Fe
0.625000 0.375000 0.375000 Fe
1.625000 1.375000 0.375000 Fe
0.625000 1.375000 0.375000 Fe
1.625000 0.125000 1.125000 Fe
0.625000 0.125000 1.125000 Fe
1.625000 1.125000 1.125000 Fe
0.625000 1.125000 1.125000 Fe
1.625000 0.125000 0.125000 Fe
0.625000 0.125000 0.125000 Fe
1.625000 1.125000 0.125000 Fe
0.625000 1.125000 0.125000 Fe
0.125000 0.625000 0.125000 Fe
1.125000 0.625000 0.125000 Fe
0.125000 1.625000 0.125000 Fe
1.125000 1.625000 0.125000 Fe
0.125000 0.625000 1.125000 Fe
1.125000 0.625000 1.125000 Fe
0.125000 1.625000 1.125000 Fe
1.125000 1.625000 1.125000 Fe
1.375000 0.625000 1.375000 Fe
0.375000 0.625000 1.375000 Fe
1.375000 1.625000 1.375000 Fe
0.375000 1.625000 1.375000 Fe
1.375000 0.625000 0.375000 Fe
0.375000 0.625000 0.375000 Fe
1.375000 1.625000 0.375000 Fe
0.375000 1.625000 0.375000 Fe
1.125000 0.875000 1.375000 Fe
0.125000 0.875000 1.375000 Fe
1.125000 1.875000 1.375000 Fe
0.125000 1.875000 1.375000 Fe
1.125000 0.875000 0.375000 Fe
0.125000 0.875000 0.375000 Fe
1.125000 1.875000 0.375000 Fe
0.125000 1.875000 0.375000 Fe
1.875000 0.875000 1.625000 Fe
0.875000 0.875000 1.625000 Fe
1.875000 1.875000 1.625000 Fe
0.875000 1.875000 1.625000 Fe
1.875000 0.875000 0.625000 Fe
0.875000 0.875000 0.625000 Fe
1.875000 1.875000 0.625000 Fe
0.875000 1.875000 0.625000 Fe
1.875000 1.625000 0.875000 Fe
0.875000 1.625000 0.875000 Fe
1.875000 0.625000 0.875000 Fe
0.875000 0.625000 0.875000 Fe
1.875000 1.625000 1.875000 Fe
0.875000 1.625000 1.875000 Fe
1.875000 0.625000 1.875000 Fe
0.875000 0.625000 1.875000 Fe
1.625000 1.875000 0.875000 Fe
0.625000 1.875000 0.875000 Fe
1.625000 0.875000 0.875000 Fe
0.625000 0.875000 0.875000 Fe
1.625000 1.875000 1.875000 Fe
0.625000 1.875000 1.875000 Fe
1.625000 0.875000 1.875000 Fe
0.625000 0.875000 1.875000 Fe
0.875000 1.125000 1.375000 Fe
1.875000 1.125000 1.375000 Fe
0.875000 0.125000 1.375000 Fe
1.875000 0.125000 1.375000 Fe
0.875000 1.125000 0.375000 Fe
1.875000 1.125000 0.375000 Fe
0.875000 0.125000 0.375000 Fe
1.875000 0.125000 0.375000 Fe
1.375000 0.875000 1.125000 Fe
0.375000 0.875000 1.125000 Fe
1.375000 1.875000 1.125000 Fe
0.375000 1.875000 1.125000 Fe
1.375000 0.875000 0.125000 Fe
0.375000 0.875000 0.125000 Fe
1.375000 1.875000 0.125000 Fe
0.375000 1.875000 0.125000 Fe
1.125000 1.375000 0.875000 Fe
0.125000 1.375000 0.875000 Fe
1.125000 0.375000 0.875000 Fe
0.125000 0.375000 0.875000 Fe
1.125000 1.375000 1.875000 Fe
0.125000 1.375000 1.875000 Fe
1.125000 0.375000 1.875000 Fe
0.125000 0.375000 1.875000 Fe
1.625000 1.625000 0.625000 Fe
0.625000 1.625000 0.625000 Fe
1.625000 0.625000 0.625000 Fe
0.625000 0.625000 0.625000 Fe
1.625000 1.625000 1.625000 Fe
0.625000 1.625000 1.625000 Fe
1.625000 0.625000 1.625000 Fe
0.625000 0.625000 1.625000 Fe
0.888650 0.611350 0.111350 O
1.888650 0.611350 0.111350 O
0.888650 1.611350 0.111350 O
1.888650 1.611350 0.111350 O
0.888650 0.611350 1.111350 O
1.888650 0.611350 1.111350 O
0.888650 1.611350 1.111350 O
1.888650 1.611350 1.111350 O
0.111350 0.888650 0.611350 O
1.111350 0.888650 0.611350 O
0.111350 1.888650 0.611350 O
1.111350 1.888650 0.611350 O
0.111350 0.888650 1.611350 O
1.111350 0.888650 1.611350 O
0.111350 1.888650 1.611350 O
1.111350 1.888650 1.611350 O
0.611350 0.111350 0.888650 O
1.611350 0.111350 0.888650 O
0.611350 1.111350 0.888650 O
1.611350 1.111350 0.888650 O
0.611350 0.111350 1.888650 O
1.611350 0.111350 1.888650 O
0.611350 1.111350 1.888650 O
1.611350 1.111350 1.888650 O
0.388650 0.388650 0.388650 O
1.388650 0.388650 0.388650 O
0.388650 1.388650 0.388650 O
1.388650 1.388650 0.388650 O
0.388650 0.388650 1.388650 O
1.388650 0.388650 1.388650 O
0.388650 1.388650 1.388650 O
1.388650 1.388650 1.388650 O
0.361350 0.138650 0.638650 O
1.361350 0.138650 0.638650 O
0.361350 1.138650 0.638650 O
1.361350 1.138650 0.638650 O
0.361350 0.138650 1.638650 O
1.361350 0.138650 1.638650 O
0.361350 1.138650 1.638650 O
1.361350 1.138650 1.638650 O
0.638650 0.361350 0.138650 O
1.638650 0.361350 0.138650 O
0.638650 1.361350 0.138650 O
1.638650 1.361350 0.138650 O
0.638650 0.361350 1.138650 O
1.638650 0.361350 1.138650 O
0.638650 1.361350 1.138650 O
1.638650 1.361350 1.138650 O
0.861350 0.861350 0.861350 O
1.861350 0.861350 0.861350 O
0.861350 1.861350 0.861350 O
1.861350 1.861350 0.861350 O
0.861350 0.861350 1.861350 O
1.861350 0.861350 1.861350 O
0.861350 1.861350 1.861350 O
1.861350 1.861350 1.861350 O
0.138650 0.638650 0.361350 O
1.138650 0.638650 0.361350 O
0.138650 1.638650 0.361350 O
1.138650 1.638650 0.361350 O
0.138650 0.638650 1.361350 O
1.138650 0.638650 1.361350 O
0.138650 1.638650 1.361350 O
1.138650 1.638650 1.361350 O
0.361350 0.638650 0.138650 O
1.361350 0.638650 0.138650 O
0.361350 1.638650 0.138650 O
1.361350 1.638650 0.138650 O
0.361350 0.638650 1.138650 O
1.361350 0.638650 1.138650 O
0.361350 1.638650 1.138650 O
1.361350 1.638650 1.138650 O
0.138650 0.361350 0.638650 O
1.138650 0.361350 0.638650 O
0.138650 1.361350 0.638650 O
1.138650 1.361350 0.638650 O
0.138650 0.361350 1.638650 O
1.138650 0.361350 1.638650 O
0.138650 1.361350 1.638650 O
1.138650 1.361350 1.638650 O
0.638650 0.138650 0.361350 O
1.638650 0.138650 0.361350 O
0.638650 1.138650 0.361350 O
1.638650 1.138650 0.361350 O
0.638650 0.138650 1.361350 O
1.638650 0.138650 1.361350 O
0.638650 1.138650 1.361350 O
1.638650 1.138650 1.361350 O
0.888650 0.111350 0.611350 O
1.888650 0.111350 0.611350 O
0.888650 1.111350 0.611350 O
1.888650 1.111350 0.611350 O
0.888650 0.111350 1.611350 O
1.888650 0.111350 1.611350 O
0.888650 1.111350 1.611350 O
1.888650 1.111350 1.611350 O
0.611350 0.888650 0.111350 O
1.611350 0.888650 0.111350 O
0.611350 1.888650 0.111350 O
1.611350 1.888650 0.111350 O
0.611350 0.888650 1.111350 O
1.611350 0.888650 1.111350 O
0.611350 1.888650 1.111350 O
1.611350 1.888650 1.111350 O
0.111350 0.611350 0.888650 O
1.111350 0.611350 0.888650 O
0.111350 1.611350 0.888650 O
1.111350 1.611350 0.888650 O
0.111350 0.611350 1.888650 O
1.111350 0.611350 1.888650 O
0.111350 1.611350 1.888650 O
1.111350 1.611350 1.888650 O
0.111350 0.388650 0.111350 O
1.111350 0.388650 0.111350 O
0.111350 1.388650 0.111350 O
1.111350 1.388650 0.111350 O
0.111350 0.388650 1.111350 O
1.111350 0.388650 1.111350 O
0.111350 1.388650 1.111350 O
1.111350 1.388650 1.111350 O
0.611350 0.611350 0.388650 O
1.611350 0.611350 0.388650 O
0.611350 1.611350 0.388650 O
1.611350 1.611350 0.388650 O
0.611350 0.611350 1.388650 O
1.611350 0.611350 1.388650 O
0.611350 1.611350 1.388650 O
1.611350 1.611350 1.388650 O
0.388650 0.888650 0.888650 O
1.388650 0.888650 0.888650 O
0.388650 1.888650 0.888650 O
1.388650 1.888650 0.888650 O
0.388650 0.888650 1.888650 O
1.388650 0.888650 1.888650 O
0.388650 1.888650 1.888650 O
1.388650 1.888650 1.888650 O
0.638650 0.861350 0.638650 O
1.638650 0.861350 0.638650 O
0.638650 1.861350 0.638650 O
1.638650 1.861350 0.638650 O
0.638650 0.861350 1.638650 O
1.638650 0.861350 1.638650 O
0.638650 1.861350 1.638650 O
1.638650 1.861350 1.638650 O
0.861350 0.361350 0.361350 O
1.861350 0.361350 0.361350 O
0.861350 1.361350 0.361350 O
1.861350 1.361350 0.361350 O
0.861350 0.361350 1.361350 O
1.861350 0.361350 1.361350 O
0.861350 1.361350 1.361350 O
1.861350 1.361350 1.361350 O
0.138650 0.138650 0.861350 O
1.138650 0.138650 0.861350 O
0.138650 1.138650 0.861350 O
1.138650 1.138650 0.861350 O
0.138650 0.138650 1.861350 O
1.138650 0.138650 1.861350 O
0.138650 1.138650 1.861350 O
1.138650 1.138650 1.861350 O
0.138650 0.861350 0.138650 O
1.138650 0.861350 0.138650 O
0.138650 1.861350 0.138650 O
1.138650 1.861350 0.138650 O
0.138650 0.861350 1.138650 O
1.138650 0.861350 1.138650 O
0.138650 1.861350 1.138650 O
1.138650 1.861350 1.138650 O
0.638650 0.638650 0.861350 O
1.638650 0.638650 0.861350 O
0.638650 1.638650 0.861350 O
1.638650 1.638650 0.861350 O
0.638650 0.638650 1.861350 O
1.638650 0.638650 1.861350 O
0.638650 1.638650 1.861350 O
1.638650 1.638650 1.861350 O
0.611350 0.388650 0.611350 O
1.611350 0.388650 0.611350 O
0.611350 1.388650 0.611350 O
1.611350 1.388650 0.611350 O
0.611350 0.388650 1.611350 O
1.611350 0.388650 1.611350 O
0.611350 1.388650 1.611350 O
1.611350 1.388650 1.611350 O
0.111350 0.111350 0.388650 O
1.111350 0.111350 0.388650 O
0.111350 1.111350 0.388650 O
1.111350 1.111350 0.388650 O
0.111350 0.111350 1.388650 O
1.111350 0.111350 1.388650 O
0.111350 1.111350 1.388650 O
1.111350 1.111350 1.388650 O
0.388650 0.611350 0.611350 O
1.388650 0.611350 0.611350 O
0.388650 1.611350 0.611350 O
1.388650 1.611350 0.611350 O
0.388650 0.611350 1.611350 O
1.388650 0.611350 1.611350 O
0.388650 1.611350 1.611350 O
1.388650 1.611350 1.611350 O
0.888650 0.388650 0.888650 O
1.888650 0.388650 0.888650 O
0.888650 1.388650 0.888650 O
1.888650 1.388650 0.888650 O
0.888650 0.388650 1.888650 O
1.888650 0.388650 1.888650 O
0.888650 1.388650 1.888650 O
1.888650 1.388650 1.888650 O
0.861350 0.138650 0.138650 O
1.861350 0.138650 0.138650 O
0.861350 1.138650 0.138650 O
1.861350 1.138650 0.138650 O
0.861350 0.138650 1.138650 O
1.861350 0.138650 1.138650 O
0.861350 1.138650 1.138650 O
1.861350 1.138650 1.138650 O
0.361350 0.861350 0.361350 O
1.361350 0.861350 0.361350 O
0.361350 1.861350 0.361350 O
1.361350 1.861350 0.361350 O
0.361350 0.861350 1.361350 O
1.361350 0.861350 1.361350 O
0.361350 1.861350 1.361350 O
1.361350 1.861350 1.361350 O
0.861350 0.638650 0.638650 O
1.861350 0.638650 0.638650 O
0.861350 1.638650 0.638650 O
1.861350 1.638650 0.638650 O
0.861350 0.638650 1.638650 O
1.861350 0.638650 1.638650 O
0.861350 1.638650 1.638650 O
1.861350 1.638650 1.638650 O
0.388650 0.111350 0.111350 O
1.388650 0.111350 0.111350 O
0.388650 1.111350 0.111350 O
1.388650 1.111350 0.111350 O
0.388650 0.111350 1.111350 O
1.388650 0.111350 1.111350 O
0.388650 1.111350 1.111350 O
1.388650 1.111350 1.111350 O
0.888650 0.888650 0.388650 O
1.888650 0.888650 0.388650 O
0.888650 1.888650 0.388650 O
1.888650 1.888650 0.388650 O
0.888650 0.888650 1.388650 O
1.888650 0.888650 1.388650 O
0.888650 1.888650 1.388650 O
1.888650 1.888650 1.388650 O
0.361350 0.361350 0.861350 O
1.361350 0.361350 0.861350 O
0.361350 1.361350 0.861350 O
1.361350 1.361350 0.861350 O
0.361350 0.361350 1.861350 O
1.361350 0.361350 1.861350 O
0.361350 1.361350 1.861350 O
1.361350 1.361350 1.861350 O
