1.557665 1.942333 0.730662 O
0.557665 0.942333 0.269338 O
1.557665 0.942333 0.269338 O
0.557665 1.942333 0.269338 O
1.557665 1.942333 0.269338 O
0.557665 0.442335 0.230662 O
1.557665 0.442335 0.230662 O
0.557665 1.442335 0.230662 O
1.557665 1.442335 0.230662 O
0.557665 0.442335 0.769338 O
1.557665 0.442335 0.769338 O
0.557665 1.442335 0.769338 O
1.557665 1.442335 0.769338 O
0.057665 0.942335 0.230662 O
1.057665 0.942335 0.230662 O
0.057665 1.942335 0.230662 O
1.057665 1.942335 0.230662 O
0.057665 0.942335 0.769338 O
1.057665 0.942335 0.769338 O
0.057665 1.942335 0.769338 O
1.057665 1.942335 0.769338 O
0.327003 0.442335 1.000000 O
1.327003 0.442335 1.000000 O
0.327003 1.442335 1.000000 O
1.327003 1.442335 1.000000 O
0.557665 0.672996 1.000000 O
1.557665 0.672996 1.000000 O
0.557665 1.672996 1.000000 O
1.557665 1.672996 1.000000 O
0.827003 0.442335 0.500000 O
1.827003 0.442335 0.500000 O
0.827003 1.442335 0.500000 O
1.827003 1.442335 0.500000 O
0.557665 0.172996 0.500000 O
1.557665 0.172996 0.500000 O
0.557665 1.172996 0.500000 O
1.557665 1.172996 0.500000 O
0.827003 0.942335 1.000000 O
1.827003 0.942335 1.000000 O
0.827003 1.942335 1.000000 O
1.827003 1.942335 1.000000 O
0.057665 0.172996 1.000000 O
1.057665 0.172996 1.000000 O
0.057665 1.172996 1.000000 O
1.057665 1.172996 1.000000 O
0.327003 0.942335 0.500000 O
1.327003 0.942335 0.500000 O
0.327003 1.942335 0.500000 O
1.327003 1.942335 0.500000 O
0.057665 0.672996 0.500000 O
1.057665 0.672996 0.500000 O
0.057665 1.672996 0.500000 O
1.057665 1.672996 0.500000 O
